Popular Tag,Friend Occurrences,All Occurrences,Percentage
Deckbuilding,35,975,0.035897435897435895
Immersive Sim,87,2432,0.03577302631578947
2.5D,72,2020,0.03564356435643564
Comic Book,38,1071,0.035480859010270774
Sports,126,3587,0.03512684694730973
2D Fighter,37,1072,0.03451492537313433
Dating Sim,46,1334,0.034482758620689655
Action Roguelike,94,2744,0.034256559766763846
Agriculture,20,584,0.03424657534246575
Spelling,6,176,0.03409090909090909
Golf,6,176,0.03409090909090909
PvE,143,4240,0.03372641509433962
Strategy RPG,49,1463,0.03349282296650718
Mythology,30,897,0.033444816053511704
Hockey,2,60,0.03333333333333333
Wholesome,10,300,0.03333333333333333
Early Access,309,9357,0.03302340493747996
Cozy,10,303,0.033003300330033
Roguevania,4,122,0.03278688524590164
2D,721,22105,0.03261705496494006
Anime,204,6277,0.03249960172056715
Old School,122,3768,0.03237791932059448
Narration,59,1824,0.03234649122807018
Arena Shooter,53,1648,0.03216019417475728
Turn-Based Combat,89,2782,0.03199137311286844
Magic,116,3626,0.031991174848317705
Arcade,313,9818,0.03188022000407415
Capitalism,19,598,0.03177257525083612
Puzzle Platformer,113,3564,0.03170594837261504
LGBTQ+,40,1265,0.03162055335968379
Quick-Time Events,14,446,0.03139013452914798
Idler,31,993,0.03121852970795569
Top-Down Shooter,70,2260,0.030973451327433628
Inventory Management,32,1034,0.030947775628626693
Futuristic,101,3274,0.030849114233353694
Pixel Graphics,357,11635,0.030683283197249677
Hentai,23,751,0.03062583222370173
Electronic,1,33,0.030303030303030304
Investigation,53,1767,0.029994340690435765
NSFW,15,502,0.029880478087649404
3D Platformer,95,3184,0.029836683417085428
Education,59,1982,0.029767911200807264
Turn-Based Tactics,79,2672,0.029565868263473054
Photo Editing,1,34,0.029411764705882353
Submarine,4,136,0.029411764705882353
Cartoony,146,4966,0.029399919452275474
Traditional Roguelike,7,241,0.029045643153526972
Casual,883,30458,0.028990741348742532
Hunting,12,414,0.028985507246376812
Jet,5,173,0.028901734104046242
Top-Down,179,6256,0.028612531969309463
Action-Adventure,236,8276,0.028516191396810053
RPGMaker,35,1238,0.02827140549273021
Emotional,64,2272,0.028169014084507043
Game Development,6,213,0.028169014084507043
Experimental,33,1179,0.027989821882951654
Programming,10,358,0.027932960893854747
Cycling,2,72,0.027777777777777776
Drama,60,2197,0.027309968138370506
Tabletop,41,1560,0.026282051282051282
Chess,5,191,0.02617801047120419
Card Battler,23,879,0.026166097838452786
Cooking,13,513,0.025341130604288498
Bullet Hell,71,2847,0.024938531787846857
Hand-drawn,89,3598,0.024735964424680377
Romance,44,1806,0.024363233665559248
Cute,247,10177,0.02427041367790115
Clicker,39,1610,0.02422360248447205
Modern,25,1033,0.02420135527589545
Interactive Fiction,59,2460,0.023983739837398373
Roguelike Deckbuilder,7,293,0.023890784982935155
Choose Your Own Adventure,64,2679,0.023889511011571482
Multiple Endings,95,4076,0.023307163886162906
Foreign,4,172,0.023255813953488372
Rock Music,1,43,0.023255813953488372
Football (American),2,86,0.023255813953488372
Action RTS,9,394,0.02284263959390863
Combat,154,6825,0.022564102564102566
VR,114,5089,0.022401257614462565
Conversation,32,1429,0.02239328201539538
Asymmetric VR,3,135,0.022222222222222223
Snowboarding,1,45,0.022222222222222223
Skiing,1,45,0.022222222222222223
Life Sim,36,1628,0.022113022113022112
Philosophical,17,769,0.022106631989596878
1980s,42,1916,0.021920668058455117
Collectathon,27,1244,0.021704180064308683
Relaxing,158,7280,0.021703296703296703
Archery,6,278,0.02158273381294964
Colorful,263,12301,0.021380375579221202
Cartoon,63,2964,0.02125506072874494
Auto Battler,10,471,0.021231422505307854
Psychedelic,28,1329,0.021068472535741158
Time Management,32,1571,0.020369191597708464
3D,302,14846,0.02034217971170686
Stylized,130,6394,0.020331560838285894
Visual Novel,83,4338,0.01913324112494237
Artificial Intelligence,24,1274,0.018838304552590265
Text-Based,33,1752,0.018835616438356163
Design & Illustration,7,375,0.018666666666666668
Score Attack,44,2430,0.01810699588477366
3D Fighter,14,778,0.017994858611825194
Audio Production,1,57,0.017543859649122806
Boxing,3,175,0.017142857142857144
Basketball,2,124,0.016129032258064516
Hidden Object,50,3204,0.015605493133583021
6DOF,10,648,0.015432098765432098
Skating,1,69,0.014492753623188406
Runner,19,1326,0.014328808446455505
Motocross,1,70,0.014285714285714285
Snow,4,286,0.013986013986013986
On-Rails Shooter,4,293,0.013651877133105802
Grid-Based Movement,15,1099,0.01364877161055505
Sokoban,7,519,0.01348747591522158
Nature,33,2488,0.013263665594855305
Nonlinear,18,1390,0.012949640287769784
360 Video,1,78,0.01282051282051282
Minimalist,60,4777,0.01256018421603517
Outbreak Sim,2,161,0.012422360248447204
Tennis,1,81,0.012345679012345678
Match 3,11,910,0.012087912087912088
Mystery Dungeon,8,668,0.011976047904191617
Ambient,1,85,0.011764705882352941
Skateboarding,1,86,0.011627906976744186
Electronic Music,1,86,0.011627906976744186
Tutorial,14,1229,0.011391375101708706
Linear,54,4742,0.011387600168705188
Abstract,21,1875,0.0112
Otome,4,364,0.01098901098901099
Cats,10,913,0.01095290251916758
2D Platformer,52,5218,0.009965504024530471
Logic,34,3418,0.00994733762434172
Precision Platformer,18,1863,0.00966183574879227
Underground,4,460,0.008695652173913044
Solitaire,5,607,0.008237232289950576
Utilities,1,130,0.007692307692307693
Creature Collector,5,685,0.0072992700729927005
Software,1,207,0.004830917874396135
Faith,1,293,0.0034129692832764505
